∆,rows,x,y,as us,XPLOIT,XPLORE,ADAPT,SWAY,6,12,18,24,50,100,200,File
47,10000,5,3,59,40,40,39,51,43,41,40,40,38,36,32,healthCloseIsses12mths0001-hard
57,86058,11,2,58,26,29,27,24,39,33,28,27,23,21,19,SS-X
63,65536,16,2,52,31,30,30,36,37,35,34,32,29,26,23,SS-W
66,53662,17,2,25,12,13,13,17,17,16,14,13,11,9,8,SS-N
69,10000,23,4,27,10,9,10,28,16,13,11,11,8,7,5,xomo ground
70,20000,9,3,34,12,13,12,19,19,15,12,11,9,8,7,pom3b
71,4653,38,1,46,13,14,14,22,26,19,17,16,12,10,8,SQL AllMeasurements
72,20000,9,3,34,12,13,11,17,20,16,14,12,10,7,6,pom3a
72,10000,23,4,37,16,16,16,38,22,21,18,17,15,13,12,xomo osp2
73,10000,23,4,24,8,8,8,23,13,11,9,9,7,5,4,xomo osp
74,1512,3,2,32,9,9,9,12,11,10,8,7,6,5,5,SS-C
75,10000,23,4,26,6,7,7,26,14,9,8,8,6,4,3,xomo flight
77,196,3,2,56,40,41,40,46,45,42,42,41,38,37,35,SS-F
77,1343,3,2,25,8,7,8,9,8,6,6,5,4,3,2,SS-A
77,196,3,2,57,39,40,40,44,44,42,41,40,37,36,33,SS-G
77,3008,14,2,41,18,18,19,21,22,19,19,18,18,17,15,SS-R
81,756,3,2,41,19,19,21,28,26,23,20,19,16,14,13,SS-E
82,972,11,2,39,19,17,19,24,25,23,19,18,16,14,13,SS-O
83,6840,16,2,55,11,9,14,18,28,20,15,14,6,4,3,SS-V
83,259,4,2,71,32,31,33,37,45,44,36,35,29,26,23,SS-H
83,500,9,3,33,9,9,9,17,15,12,11,10,8,7,6,pom3d
84,1000,17,5,46,24,23,24,30,30,27,24,24,20,18,17,coc1000
85,1599,10,2,42,26,27,26,29,29,28,27,25,23,20,18,Wine quality
88,1023,11,2,63,22,21,25,64,40,28,24,22,20,18,16,SS-L
89,2880,6,2,52,14,17,14,23,33,23,18,13,10,6,5,SS-K
89,1023,11,2,63,24,23,21,33,36,29,25,20,18,17,16,SS-P
90,398,4,3,56,30,31,30,33,35,32,30,28,22,21,19,auto93
90,3840,6,2,52,9,10,11,15,18,9,8,7,5,5,4,SS-J
91,192,9,1,33,2,3,2,8,7,4,3,2,1,0,0,Apache AllMeasurements
91,4608,21,2,46,26,25,25,26,29,26,25,25,24,24,23,SS-U
92,2736,13,3,41,7,7,7,9,13,9,8,6,6,5,5,SS-Q
92,3840,6,2,24,2,2,2,3,5,4,2,2,1,1,0,SS-S
93,1080,5,2,39,13,12,13,13,23,16,15,10,5,2,1,SS-I
94,196,3,1,26,0,0,0,4,7,2,1,1,0,0,0,wc+sol-3d-c4-obj1
94,196,3,1,27,0,1,0,4,7,2,1,1,0,0,0,wc+rs-3d-c4-obj1
94,3456,14,1,12,0,0,0,1,2,1,1,1,0,0,0,HSMGP num
94,5184,12,2,29,4,4,4,7,7,5,4,4,4,3,3,SS-T
94,2866,6,1,23,1,1,1,2,2,2,1,1,1,1,1,sol-6d-c2-obj1
95,2880,6,1,29,2,1,1,3,5,2,1,0,0,0,0,wc-6d-c1-obj1
95,196,3,2,55,37,37,37,45,42,38,36,35,33,32,32,SS-D
95,206,3,2,56,16,17,18,12,30,21,17,18,10,6,1,SS-B
96,1152,16,1,38,1,2,1,2,6,3,2,1,0,0,0,X264 AllMeasurements
96,3840,6,1,28,1,1,0,4,4,1,0,0,0,0,0,rs-6d-c3 obj1
97,864,17,3,31,1,1,1,4,3,2,1,1,0,0,0,SS-M
97,196,3,1,27,1,0,1,8,8,2,1,1,0,0,0,wc+wc-3d-c4-obj1
98,10000,5,3,66,0,0,0,14,10,1,0,0,0,0,0,healthCloseIsses12mths0011-easy
100,3840,6,1,7,0,0,0,0,0,0,0,0,0,0,0,rs-6d-c3 obj2
100,93,22,4,48,41,41,41,44,44,42,41,40,38,38,38,nasa93dem
