189.0,144.0,9,0.0,0.0.1,0.0.2,0.0.3,0.0.4,0.0.5,0.0.6,0.0.7,0.0.8,0.0.9,0.0.10,0.0.11,0.0.12,0.0.13,0.0.14,0.0.15,0
159.0,83.0,9,0.0,0.0,0.3888887,0.25092387,0.27777734,0.2509239,18.222221,13.333332999999998,26.888890000000004,14.444445000000002,-14.666667000000002,26.0,-11.333333,26.888890000000004,0.5038100000000001,-2.178321,0
64.0,176.0,9,0.0,0.0,2.3333328,0.91893756,1.0000006,0.91893756,50.77778,46.0,62.33333199999999,44.0,-14.333332999999998,34.666668,-20.333334,62.33333199999999,0.29405567,-1.9808797,1
177.0,190.0,9,0.0,0.0,0.94444466,0.82775986,1.3888893,0.9525794,52.407406,47.333332,64.55556,45.333332,-15.222222,36.444443,-21.222221,64.55556,0.29773334,-1.9858987,1
4.0,189.0,9,0.0,0.0,2.0555565,3.8851852,11.722221,114.59633999999998,26.444445,23.444445,33.0,22.88889,-9.0,19.666666,-10.666667,33.0,0.27147257,-2.1010017000000003,1
214.0,194.0,9,0.0,0.0,1.222222,1.0255985,3.2222226000000003,1.6953098999999998,45.074074,40.22222,55.44444300000001,39.555557,-14.555554999999998,31.11111,-16.555555,55.44444300000001,0.29197225,-2.0469983,1
187.0,36.0,9,0.0,0.0,0.38888884,0.2509243,0.4999999,0.2788868,7.5185184,4.777777700000001,13.0,4.777777700000001,-8.222222,16.444445,-8.222222,13.0,0.6486569000000001,-2.0972927,0
86.0,193.0,9,0.0,0.0,3.2777793,1.6521593,2.222222,1.8094397,61.40740600000001,53.66666800000001,76.55556,54.0,-23.222221,45.444443,-22.222221,76.55556,0.29957896,-2.1093748,1
124.0,191.0,9,0.0,0.0,3.5000007000000006,2.7386136000000003,3.277778,2.8001328,59.74074,52.88889,74.77778,51.555557,-20.555555,45.11111,-24.555555,74.77778,0.31361094,-2.03548,1
160.0,187.0,9,0.11111111,0.0,2.6111119,1.9369694,5.1111107,3.5381508000000004,49.48148,44.666668,60.88889,42.88889,-14.444445000000002,34.22222,-19.777779,60.88889,0.2973408,-1.9906267,1
38.0,200.0,9,0.0,0.0,3.4444447,2.125681,3.4444454,1.2049289,55.962963,49.0,70.22222,48.666668,-20.88889,42.77778,-21.88889,70.22222,0.3098264,-2.080206,1
